0 zeroprobs, logprob= -1058.54 ppl= 80.7767 ppl1= 132.23
file lyrics-kanye-west/song_149.txt: 46 sentences, 379 words, 0 OOVs
0 zeroprobs, logprob= -801.004 ppl= 76.6859 ppl1= 129.858
file lyrics-kanye-west/song_150.txt: 74 sentences, 652 words, 0 OOVs
0 zeroprobs, logprob= -1374.35 ppl= 78.1716 ppl1= 128.205
file lyrics-kanye-west/song_151.txt: 115 sentences, 998 words, 0 OOVs
0 zeroprobs, logprob= -2370.03 ppl= 134.714 ppl1= 237.02
file lyrics-kanye-west/song_152.txt: 128 sentences, 977 words, 0 OOVs
0 zeroprobs, logprob= -2091.8 ppl= 78.169 ppl1= 138.372
file lyrics-kanye-west/song_153.txt: 78 sentences, 572 words, 0 OOVs
0 zeroprobs, logprob= -1287 ppl= 95.4992 ppl1= 177.828
file lyrics-kanye-west/song_154.txt: 74 sentences, 587 words, 0 OOVs
0 zeroprobs, logprob= -1275.92 ppl= 85.1692 ppl1= 149.15
file lyrics-kanye-west/song_155.txt: 63 sentences, 451 words, 0 OOVs
0 zeroprobs, logprob= -1008.72 ppl= 91.7268 ppl1= 172.439
file lyrics-kanye-west/song_156.txt: 45 sentences, 318 words, 0 OOVs
0 zeroprobs, logprob= -671.582 ppl= 70.8091 ppl1= 129.388
file lyrics-kanye-west/song_157.txt: 30 sentences, 247 words, 0 OOVs
0 zeroprobs, logprob= -567.819 ppl= 112.173 ppl1= 199.004
file lyrics-kanye-west/song_158.txt: 36 sentences, 286 words, 0 OOVs
0 zeroprobs, logprob= -678.823 ppl= 128.276 ppl1= 236.324
file lyrics-kanye-west/song_159.txt: 8 sentences, 64 words, 0 OOVs
0 zeroprobs, logprob= -151.405 ppl= 126.721 ppl1= 232.117
file lyrics-kanye-west/song_160.txt: 79 sentences, 764 words, 0 OOVs
0 zeroprobs, logprob= -1632.64 ppl= 86.4374 ppl1= 137.076
file lyrics-kanye-west/song_161.txt: 52 sentences, 437 words, 0 OOVs
0 zeroprobs, logprob= -1018.57 ppl= 121.051 ppl1= 214.203
file lyrics-kanye-west/song_162.txt: 40 sentences, 301 words, 0 OOVs
0 zeroprobs, logprob= -564.526 ppl= 45.2378 ppl1= 75.0762
file lyrics-kanye-west/song_163.txt: 5 sentences, 285 words, 0 OOVs
0 zeroprobs, logprob= -607.269 ppl= 124.174 ppl1= 135.135
file lyrics-kanye-west/song_164.txt: 59 sentences, 346 words, 0 OOVs
0 zeroprobs, logprob= -716.936 ppl= 58.9131 ppl1= 118.051
file lyrics-kanye-west/song_165.txt: 23 sentences, 222 words, 0 OOVs
