file rapsongs/song_165.txt: 57 sentences, 482 words, 0 OOVs
0 zeroprobs, logprob= -1157.49 ppl= 140.433 ppl1= 252.012
file rapsongs/song_166.txt: 67 sentences, 557 words, 0 OOVs
0 zeroprobs, logprob= -1230.42 ppl= 93.7175 ppl1= 161.81
file rapsongs/song_167.txt: 63 sentences, 516 words, 0 OOVs
0 zeroprobs, logprob= -1239.09 ppl= 138.057 ppl1= 251.968
file rapsongs/song_168.txt: 60 sentences, 495 words, 0 OOVs
0 zeroprobs, logprob= -1218.33 ppl= 156.741 ppl1= 289.244
file rapsongs/song_169.txt: 86 sentences, 711 words, 0 OOVs
0 zeroprobs, logprob= -1626.09 ppl= 109.715 ppl1= 193.664
file rapsongs/song_170.txt: 74 sentences, 695 words, 0 OOVs
0 zeroprobs, logprob= -1485.56 ppl= 85.4677 ppl1= 137.243
file rapsongs/song_171.txt: 59 sentences, 545 words, 0 OOVs
0 zeroprobs, logprob= -1189.72 ppl= 93.2696 ppl1= 152.398
file rapsongs/song_172.txt: 55 sentences, 466 words, 0 OOVs
0 zeroprobs, logprob= -1165.06 ppl= 172.269 ppl1= 316.328
file rapsongs/song_173.txt: 68 sentences, 566 words, 0 OOVs
0 zeroprobs, logprob= -1397.91 ppl= 160.288 ppl1= 294.986
file rapsongs/song_174.txt: 54 sentences, 341 words, 0 OOVs
0 zeroprobs, logprob= -794.393 ppl= 102.594 ppl1= 213.599
file rapsongs/song_175.txt: 88 sentences, 735 words, 0 OOVs
0 zeroprobs, logprob= -1807.16 ppl= 156.971 ppl1= 287.554
file rapsongs/song_176.txt: 43 sentences, 424 words, 0 OOVs
0 zeroprobs, logprob= -1018.44 ppl= 151.638 ppl1= 252.333
file rapsongs/song_177.txt: 83 sentences, 786 words, 0 OOVs
0 zeroprobs, logprob= -1753.36 ppl= 104.153 ppl1= 170.112
file rapsongs/song_178.txt: 18 sentences, 76 words, 0 OOVs
0 zeroprobs, logprob= -197.14 ppl= 125.094 ppl1= 392.601
file rapsongs/song_179.txt: 59 sentences, 493 words, 0 OOVs
0 zeroprobs, logprob= -1148.66 ppl= 120.476 ppl1= 213.764
file rapsongs/song_180.txt: 86 sentences, 931 words, 0 OOVs
0 zeroprobs, logprob= -1995.08 ppl= 91.5643 ppl1= 138.975
file rapsongs/song_181.txt: 52 sentences, 492 words, 0 OOVs
0 zeroprobs, logprob= -1189.93 ppl= 153.948 ppl1= 262.155
file rapsongs/song_182.txt: 72 sentences, 538 words, 0 OOVs
0 zeroprobs, logprob= -1282.55 ppl= 126.631 ppl1= 242.059
file rapsongs/song_183.txt: 68 sentences, 681 words, 0 OOVs
0 zeroprobs, logprob= -1339.96 ppl= 61.5173 ppl1= 92.8184
file rapsongs/song_184.txt: 49 sentences, 455 words, 0 OOVs
0 zeroprobs, logprob= -1076.07 ppl= 136.476 ppl1= 231.732
file rapsongs/song_185.txt: 20 sentences, 222 words, 0 OOVs
0 zeroprobs, logprob= -563.982 ppl= 214.045 ppl1= 347.104
file rapsongs/song_186.txt: 47 sentences, 429 words, 0 OOVs
0 zeroprobs, logprob= -1028.82 ppl= 145.009 ppl1= 250.144
file rapsongs/song_187.txt: 67 sentences, 585 words, 0 OOVs
0 zeroprobs, logprob= -1386.69 ppl= 133.915 ppl1= 234.647
file rapsongs/song_188.txt: 85 sentences, 477 words, 0 OOVs
0 zeroprobs, logprob= -1101.25 ppl= 91.1009 ppl1= 203.565
file rapsongs/song_189.txt: 75 sentences, 624 words, 0 OOVs
0 zeroprobs, logprob= -1484.75 ppl= 133.077 ppl1= 239.554
file rapsongs/song_190.txt: 136 sentences, 763 words, 0 OOVs
0 zeroprobs, logprob= -1956.44 ppl= 150.053 ppl1= 366.561
file rapsongs/song_191.txt: 64 sentences, 418 words, 0 OOVs
0 zeroprobs, logprob= -1073.26 ppl= 168.53 ppl1= 369.492
file rapsongs/song_192.txt: 41 sentences, 371 words, 0 OOVs
0 zeroprobs, logprob= -861.699 ppl= 123.453 ppl1= 210.203
file rapsongs/song_193.txt: 63 sentences, 593 words, 0 OOVs
0 zeroprobs, logprob= -1397.75 ppl= 135.117 ppl1= 227.549
